taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,noteType,main_common_name
6834,ANIMALIA,CHORDATA,MAMMALIA,MICROBIOTHERIA,MICROBIOTHERIIDAE,Dromiciops,Dromiciops gliroides,"Thomas, 1894",,,,NT,Monito del Monte
6843,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Dromus,Dromus dromas,"(Lea, 1834)",,,,CR,Dromedary Pearly Mussel
6844,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,DROSOPHILIDAE,Drosophila,Drosophila lanaiensis,"Grimshaw, 1901",,,,EX,
6845,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ORTHALICIDAE,Drymaeus,Drymaeus henseli,"Martens, 1868",,,,VU,
6852,ANIMALIA,ARTHROPODA,INSECTA,PHASMIDA,PHASMATIDAE,Dryococelus,Dryococelus australis,"(Montrouzier, 1855)",,,,CR,Lord Howe Island Stick-insect
6858,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GLIRIDAE,Dryomys,Dryomys nitedula,"(Pallas, 1778)",,,,LC,Forest Dormouse
6859,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GLIRIDAE,Dryomys,Dryomys laniger,"Felten &amp; Storch, 1968",,,,DD,Woolly Dormouse
6860,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GLIRIDAE,Chaetocauda,Chaetocauda sichuanensis,"Wang, 1985",,,,DD,Sichuan Dormouse
6862,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CURCULIONIDAE,Dryophthorus,Dryophthorus distinguendus,"Perkins, 1900",,,,EX,
6863,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CURCULIONIDAE,Dryotribus,Dryotribus mimeticus,"Horn, 1873",,,,LC,
6909,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Dugong,Dugong dugon,"(Müller, 1776)",,,,VU,Dugong
6913,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,EUCONULIDAE,Dupontia,Dupontia levis,"Godwin-Austen, 1908",,,,VU,
6914,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,EUCONULIDAE,Dupontia,Dupontia nitella,"Morelet, 1868",,,,VU,
6915,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,EUCONULIDAE,Dupontia,Dupontia perlucida,"Adams, 1867",,,,EN,
6916,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,EUCONULIDAE,Dupontia,Dupontia poweri,"Adams, 1868",,,,VU,
6917,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,EUCONULIDAE,Dupontia,Dupontia proletaria,"Morelet, 1860",,,,EX,
6918,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Dupucharopa,Dupucharopa millestriata,"Smith, 1874",,,,VU,
6919,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,COCHLIOPIDAE,Juturnia,Juturnia coahuilae,"Taylor, 1966",,,,VU,Durangonella De Coahuila Snail
6923,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Dusicyon,Dusicyon australis,"(Kerr, 1792)",,,,EX,Falklands Wolf
6924,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Atelocynus,Atelocynus microtis,"(Sclater, 1883)",,,,NT,Short-eared Dog
6925,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,Lycalopex sechurae,"Thomas, 1900",,,,NT,Sechuran Fox
6926,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,Lycalopex vetulus,"Lund, 1842",,,,NT,Hoary Fox
6927,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,Lycalopex griseus,"Gray, 1837",,,,LC,Chilla
6928,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,Lycalopex gymnocercus,"G. Fischer, 1814",,,,LC,Pampas Fox
6929,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,Lycalopex culpaeus,"Molina, 1782",,,,LC,Culpeo
6930,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Dussartius,Dussartius baeticus,"(Dussart, 1967)",,,,VU,
6931,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Dyacopterus,Dyacopterus spadiceus,"(Thomas, 1890)",,,,NT,Dayak Fruit Bat
6937,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Dyscophus,Dyscophus antongilii,"Grandidier, 1877",,,,LC,Tomato Frog
6970,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Dytiscus,Dytiscus latissimus,"Blunck, 1923",,,,VU,
6973,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,SYNLESTIDAE,Ecchlorolestes,Ecchlorolestes nylephtha,"(Barnard, 1937)",,,,NT,Queen Malachite
6975,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,SYNLESTIDAE,Ecchlorolestes,Ecchlorolestes peringueyi,"(Ris, 1921)",,,,NT,Marbled Malachite
6977,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys blainvillii,"(Jordan, 1837)",,,,LC,Golden Atlantic Tree Rat
6978,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys brasiliensis,"Lund, 1840",,,,EN,Red-nosed Tree Rat
6979,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Echimys,Echimys chrysurus,"(Zimmermann, 1780)",,,,LC,White-faced Tree Rat
6980,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys dasythrix,"Hensel, 1872",,,,LC,Drab Atlantic Tree Rat
6981,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Toromys,Toromys grandis,"(Wagner, 1845)",,,,LC,Giant Tree Rat
6982,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys lamarum,"(Thomas, 1916)",,,,DD,Pallid Atlantic Tree Rat
6983,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Makalata,Makalata macrura,"(Wagner, 1842)",,,,LC,Long-tailed Tree Rat
